Year,Team,Pace,ORtg,DRtg,NRtg,TS%,eFG%,TOV%,ORB%,FT/FGA
1985,Los Angeles Lakers,103.2,114.1,107.0,7.1,0.589,0.485,13.7,33.8,0.22
1985,Milwaukee Bucks,99.7,110.5,103.6,6.9,0.545,0.467,16.1,35.4,0.29
1985,Boston Celtics,101.6,112.8,106.3,6.5,0.564,0.481,12.6,32.8,0.198
1985,Philadelphia 76ers,100.8,111.3,107.3,4.0,0.561,0.494,15.7,37.4,0.259
1985,Portland Trail Blazers,103.6,110.4,107.1,3.3,0.554,0.497,15.9,33.9,0.232
1985,Detroit Pistons,105.0,109.6,107.2,2.4,0.529,0.501,14.9,35.4,0.245
1985,Denver Nuggets,107.6,110.7,108.4,2.3,0.54,0.516,17.0,33.6,0.275
1985,Dallas Mavericks,98.8,111.5,109.3,2.2,0.549,0.51,14.2,30.7,0.221
1985,Houston Rockets,102.2,107.9,106.3,1.6,0.54,0.487,15.2,37.4,0.259
1985,San Antonio Spurs,103.9,109.9,109.0,0.9,0.565,0.501,15.0,33.2,0.269
1985,New Jersey Nets,101.1,107.9,107.7,0.2,0.532,0.505,15.6,33.9,0.263
1985,Utah Jazz,105.1,103.3,103.4,-0.1,0.534,0.469,15.7,29.0,0.238
1985,Washington Bullets,100.3,104.3,104.6,-0.3,0.524,0.491,15.3,27.5,0.226
1985,Chicago Bulls,99.4,108.7,109.6,-0.9,0.556,0.495,13.8,32.2,0.257
1985,Atlanta Hawks,99.8,105.9,107.3,-1.4,0.536,0.485,15.2,32.5,0.249
1985,Phoenix Suns,102.5,104.7,106.8,-2.1,0.544,0.498,15.0,29.8,0.24
1985,Kansas City Kings,104.4,109.5,112.1,-2.6,0.559,0.514,14.2,34.0,0.262
1985,Cleveland Cavaliers,101.9,106.0,108.7,-2.7,0.526,0.483,13.7,32.9,0.265
1985,Los Angeles Clippers,101.0,105.8,110.2,-4.4,0.543,0.495,12.7,33.7,0.21
1985,New York Knicks,99.5,104.9,109.6,-4.7,0.53,0.499,16.5,31.7,0.339
1985,Seattle SuperSonics,99.3,102.8,108.2,-5.4,0.529,0.498,14.6,30.0,0.238
1985,Indiana Pacers,105.1,102.5,108.4,-5.9,0.527,0.499,14.3,31.7,0.282
1985,Golden State Warriors,103.2,106.0,113.0,-7.0,0.522,0.54,16.1,34.5,0.268
1986,Boston Celtics,101.2,111.8,102.6,9.2,0.564,0.466,13.0,31.3,0.216
1986,Milwaukee Bucks,102.1,111.4,102.7,8.7,0.552,0.473,16.6,33.8,0.281
1986,Los Angeles Lakers,102.7,113.3,105.8,7.5,0.575,0.484,13.5,33.1,0.239
1986,Houston Rockets,103.5,110.1,107.6,2.5,0.536,0.497,14.8,35.5,0.243
1986,Atlanta Hawks,100.0,107.9,105.6,2.3,0.542,0.481,15.4,34.9,0.269
1986,Philadelphia 76ers,100.5,108.6,106.3,2.3,0.546,0.499,15.6,37.3,0.211
1986,Denver Nuggets,106.7,107.1,105.9,1.2,0.527,0.495,16.9,30.9,0.266
