Year,Team,TS%,eFG%,FT/FGA,ORtg
1988,Golden State Warriors,0.524,0.511,0.283,104.7
1988,Los Angeles Clippers,0.494,0.486,0.244,97.4
1989,Cleveland Cavaliers*,0.559,0.473,0.185,110.6
1989,Phoenix Suns*,0.56,0.476,0.225,113.1
1989,Los Angeles Lakers*,0.57,0.482,0.205,113.8
1989,Detroit Pistons*,0.551,0.458,0.26,110.8
1989,Utah Jazz*,0.55,0.447,0.246,106.6
1989,Atlanta Hawks*,0.54,0.482,0.256,112.2
1989,Milwaukee Bucks*,0.544,0.493,0.266,110.1
1989,New York Knicks*,0.553,0.504,0.249,111.1
1989,Seattle SuperSonics*,0.539,0.498,0.271,111.5
1989,Denver Nuggets*,0.528,0.505,0.264,108.6
1989,Philadelphia 76ers*,0.552,0.513,0.215,113.0
1989,Chicago Bulls*,0.553,0.487,0.239,109.1
1989,Portland Trail Blazers*,0.53,0.501,0.264,109.4
1989,Boston Celtics*,0.548,0.493,0.248,110.8
1989,Houston Rockets*,0.535,0.481,0.248,105.7
1989,Golden State Warriors*,0.529,0.479,0.24,107.4
1989,Dallas Mavericks,0.536,0.48,0.215,107.4
1989,Washington Bullets,0.516,0.493,0.267,106.4
1989,Indiana Pacers,0.552,0.478,0.275,106.8
1989,Sacramento Kings,0.523,0.496,0.235,104.5
1989,New Jersey Nets,0.517,0.508,0.244,103.0
1989,San Antonio Spurs,0.512,0.5,0.294,100.9
1989,Charlotte Hornets,0.514,0.508,0.287,103.7
1989,Los Angeles Clippers,0.518,0.497,0.237,100.8
1989,Miami Heat,0.498,0.499,0.292,97.8
1990,Los Angeles Lakers*,0.562,0.479,0.219,114.0
1990,Phoenix Suns*,0.565,0.478,0.209,113.1
1990,Detroit Pistons*,0.537,0.461,0.262,109.9
1990,Portland Trail Blazers*,0.535,0.479,0.265,110.5
1990,Philadelphia 76ers*,0.556,0.495,0.223,113.5
1990,Utah Jazz*,0.57,0.468,0.268,110.3
1990,Boston Celtics*,0.557,0.477,0.223,112.0
1990,San Antonio Spurs*,0.537,0.477,0.235,107.7
1990,Chicago Bulls*,0.559,0.508,0.262,112.3
1990,Houston Rockets*,0.531,0.475,0.228,104.8
1990,New York Knicks*,0.547,0.482,0.215,109.4
1990,Denver Nuggets*,0.523,0.501,0.264,108.0
1990,Seattle SuperSonics,0.535,0.499,0.297,110.9
1990,Atlanta Hawks,0.547,0.509,0.254,113.0
1990,Indiana Pacers*,0.572,0.494,0.25,111.5
1990,Dallas Mavericks*,0.536,0.481,0.232,107.2
1990,Cleveland Cavaliers*,0.529,0.49,0.202,106.9
1990,Milwaukee Bucks*,0.533,0.492,0.29,107.3
1990,Washington Bullets,0.519,0.484,0.249,107.5
1990,Golden State Warriors,0.563,0.494,0.253,109.6
1990,Los Angeles Clippers,0.536,0.489,0.241,104.0
1990,Minnesota Timberwolves,0.499,0.492,0.291,103.6
1990,Sacramento Kings,0.527,0.484,0.255,104.8
1990,New Jersey Nets,0.486,0.495,0.272,100.7
1990,Charlotte Hornets,0.511,0.506,0.269,102.0
1990,Orlando Magic,0.521,0.511,0.245,105.8
1990,Miami Heat,0.501,0.499,0.292,99.3
1991,Chicago Bulls*,0.56,0.488,0.226,114.6
1991,Portland Trail Blazers*,0.554,0.473,0.25,112.8
1991,Los Angeles Lakers*,0.551,0.474,0.176,112.1
1991,Phoenix Suns*,0.558,0.474,0.227,112.6
1991,Boston Celtics*,0.565,0.465,0.217,112.6
1991,San Antonio Spurs*,0.544,0.463,0.228,107.8
1991,Detroit Pistons*,0.523,0.464,0.248,108.2
1991,Utah Jazz*,0.559,0.473,0.23,108.6
1991,Houston Rockets*,0.53,0.469,0.22,107.4
1991,Milwaukee Bucks*,0.55,0.5,0.259,109.7
1991,Golden State Warriors*,0.559,0.497,0.289,111.9
1991,Seattle SuperSonics*,0.542,0.503,0.277,109.7
1991,Atlanta Hawks*,0.54,0.509,0.22,110.9
1991,New York Knicks*,0.544,0.489,0.205,107.1
1991,Philadelphia 76ers*,0.542,0.489,0.187,107.9
1991,Indiana Pacers*,0.566,0.503,0.254,111.7
1991,Cleveland Cavaliers,0.534,0.497,0.206,106.1
1991,Los Angeles Clippers,0.511,0.481,0.266,103.0
1991,Orlando Magic,0.521,0.493,0.26,105.9
1991,Minnesota Timberwolves,0.499,0.502,0.248,106.7
1991,New Jersey Nets,0.5,0.478,0.267,102.9
1991,Dallas Mavericks,0.528,0.495,0.245,105.5
